Source,Target,Type,Id,Label,timeset,Weight
22092443056,50218738285,Directed,0,,,1
22092443056,1568217016773241,Directed,1,,,1
22092443056,321602198304128,Directed,2,,,1
22092443056,168518823663369,Directed,3,,,1
22092443056,380020751696,Directed,4,,,1
22092443056,165182143467,Directed,5,,,1
22092443056,1620267981574216,Directed,6,,,1
22092443056,241100506423,Directed,7,,,1
22092443056,6564142497,Directed,8,,,1
22092443056,46481584202,Directed,9,,,1
22092443056,156195014444203,Directed,10,,,1
22092443056,201553549908102,Directed,11,,,1
22092443056,269626263209765,Directed,12,,,1
22092443056,86973707921,Directed,13,,,1
22092443056,1454238884806475,Directed,14,,,1
22092443056,802058733151542,Directed,15,,,1
22092443056,92896153814,Directed,16,,,1
22092443056,5027904559,Directed,17,,,1
22092443056,266351330231,Directed,18,,,1
22092443056,24547752280,Directed,19,,,1
22092443056,11081890741,Directed,20,,,1
22092443056,131919125415,Directed,21,,,1
22092443056,10737653985,Directed,22,,,1
22092443056,122792026424,Directed,23,,,1
22092443056,160386677390968,Directed,24,,,1
22092443056,16714458909,Directed,25,,,1
22092443056,107831491001,Directed,26,,,1
22092443056,6829493713,Directed,27,,,1
22092443056,334754476575920,Directed,28,,,1
22092443056,205842302816401,Directed,29,,,1
22092443056,159881487393275,Directed,30,,,1
22092443056,19958618010,Directed,31,,,1
22092443056,117420464947628,Directed,32,,,1
22092443056,335713182708,Directed,33,,,1
22092443056,18918509840,Directed,34,,,1
22092443056,67757651619,Directed,35,,,1
1568217016773241,22092443056,Directed,36,,,1
380020751696,22092443056,Directed,37,,,1
165182143467,22092443056,Directed,38,,,1
6564142497,6829493713,Directed,39,,,1
201553549908102,86973707921,Directed,40,,,1
92896153814,335713182708,Directed,41,,,1
92896153814,16714458909,Directed,42,,,1
92896153814,22092443056,Directed,43,,,1
92896153814,86973707921,Directed,44,,,1
266351330231,24547752280,Directed,45,,,1
10737653985,86973707921,Directed,46,,,1
107831491001,6829493713,Directed,47,,,1
107831491001,16714458909,Directed,48,,,1
107831491001,19958618010,Directed,49,,,1
107831491001,335713182708,Directed,50,,,1
107831491001,334754476575920,Directed,51,,,1
107831491001,117420464947628,Directed,52,,,1
107831491001,22092443056,Directed,53,,,1
6829493713,241100506423,Directed,54,,,1
6829493713,159881487393275,Directed,55,,,1
6829493713,22092443056,Directed,56,,,1
334754476575920,107831491001,Directed,57,,,1
334754476575920,335713182708,Directed,58,,,1
334754476575920,205842302816401,Directed,59,,,1
334754476575920,117420464947628,Directed,60,,,1
334754476575920,22092443056,Directed,61,,,1
334754476575920,19958618010,Directed,62,,,1
205842302816401,107831491001,Directed,63,,,1
205842302816401,22092443056,Directed,64,,,1
159881487393275,6829493713,Directed,65,,,1
159881487393275,22092443056,Directed,66,,,1
19958618010,22092443056,Directed,67,,,1
117420464947628,22092443056,Directed,68,,,1
18918509840,22092443056,Directed,69,,,1
67757651619,22092443056,Directed,70,,,1
